"","temp","temp.sd","temp.se","bin"
"9800",0.174562404384555,0.0182089733275794,0.00910448666378972,9800
"10000",0.116326960487763,0.0192331036683371,0.00961655183416855,10000
"10200",0.06289034680783,0.0158060904588534,0.00790304522942672,10200
"10400",0.00535955558076685,0.0220075607031355,0.0110037803515677,10400
"10600",-0.0825650545660052,0.0329191962698804,0.0164595981349402,10600
"10800",-0.184834044603563,0.0326928976588333,0.0163464488294166,10800
"11000",-0.293123011856826,0.0396727474869164,0.0198363737434582,11000
"11200",-0.424459485660676,0.0425098435901722,0.0212549217950861,11200
"11400",-0.55565992436682,0.0438748699072774,0.0219374349536387,11400
"11600",-0.719869896845633,0.0613149130108749,0.0306574565054375,11600
"11800",-0.904810854189833,0.0566658980976927,0.0283329490488463,11800
"12000",-1.09624600997144,0.065094690184813,0.0325473450924065,12000
"12200",-1.24541714933527,0.0348470142365116,0.0174235071182558,12200
"12400",-1.38735812866471,0.0539575346353331,0.0269787673176665,12400
"12600",-1.49771999727956,0.0125985907578965,0.00629929537894827,12600
"12800",-1.46813164313364,0.0244934541260621,0.012246727063031,12800
"13000",-1.39906703744325,0.0185378979642637,0.00926894898213184,13000
"13200",-1.31961022330285,0.033377405788132,0.016688702894066,13200
"13400",-1.24119257263165,0.0104611075340988,0.0052305537670494,13400
"13600",-1.26003117041061,0.0132052463250329,0.00660262316251646,13600
"13800",-1.32270161448993,0.0300537495403037,0.0150268747701519,13800
"14000",-1.40428077198099,0.0174783865440852,0.0087391932720426,14000
"14200",-1.45961733408306,0.0257671143400014,0.0128835571700007,14200
"14400",-1.58768783227093,0.0576505601160318,0.0288252800580159,14400
"14600",-1.81448709710655,0.0831456484244847,0.0415728242122424,14600
"14800",-2.04425016290124,0.0620685294296727,0.0310342647148363,14800
"15000",-2.19029437891705,0.0328916296836148,0.0164458148418074,15000
"15200",-2.26936248237083,0.0209457108891904,0.0104728554445952,15200
"15400",-2.33495467599848,0.0234741319401099,0.011737065970055,15400
"15600",-2.40933798302521,0.0227822242194058,0.0113911121097029,15600
"15800",-2.47919018029604,0.0223034897685657,0.0111517448842829,15800
"16000",-2.55294011632204,0.025692618254885,0.0128463091274425,16000
"16200",-2.63309835473452,0.0258574923770077,0.0129287461885038,16200
"16400",-2.71320249642829,0.0259275779620311,0.0129637889810156,16400
"16600",-2.79314207948799,0.0251041252305259,0.0125520626152629,16600
"16800",-2.85975880058668,0.0179173133897537,0.00895865669487684,16800
"17000",-2.92177987759705,0.026320730194986,0.013160365097493,17000
"17200",-2.99888390543091,0.0158691340915115,0.00793456704575577,17200
"17400",-3.01819996403471,0.00344519807512675,0.00172259903756337,17400
"17600",-3.03515047170121,0.00654163085640211,0.00327081542820105,17600
"17800",-3.05884154783307,0.00945654097305618,0.00472827048652809,17800
"18000",-3.09388864932597,0.0142414262380989,0.00712071311904946,18000
"18200",-3.13415356602442,0.00912842869749124,0.00456421434874562,18200
"18400",-3.15607624284174,0.00710046122621255,0.00355023061310628,18400
"18600",-3.18458358629716,0.0109148403394035,0.00545742016970176,18600
"18800",-3.22574076397677,0.012315598118281,0.00615779905914049,18800
"19000",-3.23189619131436,0.00473644835019482,0.00236822417509741,19000
"19200",-3.23890505517772,0.00795513384694153,0.00397756692347076,19200
"19400",-3.23684081229696,0.0110325894344602,0.0055162947172301,19400
"19600",-3.20610814614525,0.0047518886394677,0.00237594431973385,19600
"19800",-3.21887136225145,0.0102142287608881,0.00510711438044406,19800
"20000",-3.2427182977746,0.00473852343648852,0.00236926171824426,20000
"20200",-3.25987867396864,0.00555399226313561,0.00277699613156781,20200
