"","taxa","count"
"12610","Triletes",4275
"9747","Polygonaceae",4268
"8004","Microspheres",4260
"5695","Fungi",4243
"9303","Pinus banksiana/P. resinosa",4243
"2305","Cedrus",4242
"8726","Osmunda regalis",4224
"13614","Viscum",4224
"1325","Athyrium filix-femina",4210
"11055","Salix undiff.",4153
"8742","Ostrya-type",4141
"13656","Weinmannia",4128
"11102","Sanguisorba officinalis",4078
"9624","Poaceae (Cerealia) undiff.",4077
"12673","Tsuga mertensiana",4062
"9085","Peucedanum-type",4061
"10208","Pseudotsuga",4058
"11626","Solanaceae",4035
"119","Acer undiff.",4019
"2157","Carex-type",4015
"12667","Tsuga canadensis",4012
"11684","Sorbus",3983
"7823","Matricaria-type",3925
"6910","Juniperus/Thuja",3898
"11149","Sarcobatus",3891
"8331","Myrsine",3815
"9852","Polypodiophyta (monolete, psilate)",3796
"114","Acer saccharum-type",3784
"4593","Dodonaea",3777
"10299","Pteridophyta (monolete)",3774
"10079","Primulaceae",3758
"6018","Gentianaceae",3747
"8280","Myrica gale",3682
"9446","Plantago alpina-type",3660
"12876","Unknown (monolete, psilate)",3660
"5465","Faboideae",3651
"3335","Chaerophyllum hirsutum-type",3607
"464","Alnus viridis subsp. crispa",3599
"2298","Cecropia",3580
"6569","Hydrocotyle",3530
"5069","Eucalyptus",3517
"10624","Rhamnaceae",3517
"6707","Indeterminable (broken)",3510
"7572","Lycopodium-type",3481
"4146","Cyathea",3478
"10407","Quercus cerris-type",3465
"7874","Melastomataceae",3443
"9976","Populus tremuloides-type",3424
"4500","Dinoflagellata",3419
"10544","Ranunculus sect. Batrachium",3411
"11203","Saxifraga oppositifolia-type",3354
"13342","Unknown/Indeterminable",3344
"6865","Juglans regia",3336
"10453","Quercus undiff.",3333
"9302","Pinus banksiana-type",3331
"3494","Cirsium",3326
"13399","Ustulina deusta",3319
"13375","Urtica-type",3258
"11","Abies balsamea",3256
"7492","Lycopodiaceae",3252
"1852","Bryophyta",3250
"11098","Sanguisorba",3242
"8745","Ostrya/Carpinus orientalis",3213
"7410","Lonicera",3192
"11175","Saxifraga",3172
"1568","Betula sect. Betula",3171
"1361","Author's pollen sum",3159
"5343","Euphorbiaceae",3156
"7594","Lysimachia",3151
"11382","Sedum",3148
"6711","Indeterminable (crumpled)",3141
"12371","Tilia cordata-type",3141
